Index,StudyName,GoogleDriveFolderName,ModelFilesLink,HydroClimate,ShortDescription,DV_Path,SV_Path,Start_Date,End_Date,Source,Metadata
s0028,s0028_CVgwLimit_SGMALU_wTUCP,s0028_CVgwLimit_SGMALU_wTUCP,https://drive.google.com/drive/folders/18jbgLLpe5wrTL84cgkkcmPYXZRvm-ZD7?usp=drive_link,2023 DWR Historical Adjusted,Same as s0027 but with reductions in ag land use to balance gw use across CV,s0028_CVgwLimit_SGMALU_wTUCP\Model_Files\DSS\output\s0028_CVgwLimit_SGMALU_wTUCP_DV_v0.6_20260111.dss,s0028_CVgwLimit_SGMALU_wTUCP\Model_Files\DSS\input\coeqwal_s9999_SV_v0.1.11.dss,10/31/1921,9/30/2021,,
s0030,s0030_DCRadjHist_2020LU_NoFlowReqt,s0030_DCRadjHist_2020LU_NoFlowReqt,https://drive.google.com/drive/folders/1YgwEwEk7ZPEvgO5STOPagjRpmHWDug5M?usp=drive_link,2023 DWR Historical Adjusted,Remove tribuatry minimum flow requirements - a test scenario; with 2020 land use,s0030_DCRadjHist_2020LU_NoFlowReqt\Model_Files\DSS\output\s0030_DCRadjHist_2020LU_NoFlowReqt_DV_20260126v02.dss,s0030_DCRadjHist_2020LU_NoFlowReqt\Model_Files\DSS\input\coeqwal_s9999_SV_v0.1.3.dss,10/31/1921,9/30/2021,,
s0031,s0031_DCRadjHist_2020LU_salmonflows,s0031_DCRadjHist_2020LU_salmonflows,https://drive.google.com/drive/folders/12WxyaU3yZcARXDikARc499brHzrlG3Pv?usp=drive_link,2023 DWR Historical Adjusted,Functional flows scenario designed for salmon outcomes,s0031_DCRadjHist_2020LU_salmonflows\Model_Files\DSS\output\s0031_DCRadjHist_2020LU_salmonflows_DV_20260126v03.dss,s0031_DCRadjHist_2020LU_salmonflows\Model_Files\DSS\input\coeqwal_s9999_SV_v0.1.14.dss,10/31/1921,9/30/2021,,
s0032,s0032_DCRadjHist_CVgwLU_eflows,s0032_DCRadjHist_CVgwLU_eflows,https://drive.google.com/drive/folders/154UWd1eBP2BHuqlGGAA0jsqkZxY6IF60?usp=drive_link,2023 DWR Historical Adjusted,Functional flows scenario with reduced CV-wide ag land use as used in gw limit scenarios,s0032_DCRadjHist_CVgwLU_eflows\Model_Files\DSS\output\s0032_DCRadjHist_CVgwLU_eflows_DV_v01_20260112.dss,s0032_DCRadjHist_CVgwLU_eflows\Model_Files\DSS\input\coeqwal_s9999_SV_v0.1.11.dss,10/31/1921,9/30/2021,,
s0033,s0033_DCRadjHist_CVgwLU_salmonflows,s0033_DCRadjHist_CVgwLU_salmonflows,https://drive.google.com/drive/folders/1WxtUDlgWoEtLRPWivAjPcLTzctYAyhFj?usp=drive_link,2023 DWR Historical Adjusted,Salmon flows scenario with reduced CV-wide ag land use as sued in gw limit scenarios,s0033_DCRadjHist_CVgwLU_salmonflows\Model_Files\DSS\output\s0033_DCRadjHist_CVgwLU_salmonflows_DV_20260126v03.dss,s0033_DCRadjHist_CVgwLU_salmonflows\Model_Files\DSS\input\coeqwal_s9999_SV_v0.11.15.dss,10/31/1921,9/30/2021,,
s0035,s0035_DCRadjBL_2020LU_PriorityHHS,s0035_DCRadjBL_2020LU_PriorityHHS,https://drive.google.com/drive/folders/1oQPEcZd_V40yNIOQpXRldoeF4o-rhj09?usp=drive_link,2023 DWR Historical Adjusted,Prioritizing the health and human safety (HHS) levels of surface water delivery to community water systems.,s0035_DCRadjBL_2020LU_PriorityHHS\Model_Files\DSS\output\s0035_DCRadjBL_2020LU_PriorityHHS_DV_v1_20260216.dss,s0035_DCRadjBL_2020LU_PriorityHHS\Model_Files\DSS\input\coeqwal_s9999_SV_v0.1.4.dss,10/31/1921,9/30/2021,,
s0036,s0036_DCRadjBL_2020LU_PriorityFuncCWN,s0036_DCRadjBL_2020LU_PriorityFuncCWN,https://drive.google.com/drive/folders/1sg4pO3g27TpzpHKI-vjVvWXI6vu9eJHa?usp=drive_link,2023 DWR Historical Adjusted,Prioritizing a functional level of deliveries to communty water systems. This is an amount intermediate to HHS and full demands and reflects a delivery of water generally considered sufficient to support community needs.,s0036_DCRadjBL_2020LU_PriorityFuncCWN\Model_Files\DSS\output\s0036_DCRadjBL_2020LU_PriorityFuncCWN_DV_v1_20260219.dss,s0036_DCRadjBL_2020LU_PriorityFuncCWN\Model_Files\DSS\input\coeqwal_s9999_SV_v0.1.4.dss,10/31/1921,9/30/2021,,
s0037,s0037_DCRadjBL_2020LU_PriorityFullCWN,s0037_DCRadjBL_2020LU_PriorityFullCWN,https://drive.google.com/drive/folders/1s-lzl32IwXKu-YLCGRcClPfHJo_z1Pa0?usp=drive_link,2023 DWR Historical Adjusted,Prioritizing full municipal demand deliveries to community water systems. Agricultural allocations in SWP and CVP systems are reduced to accomodate more delivery of surface water to community water systems.,s0037_DCRadjBL_2020LU_PriorityFullCWN\Model_Files\DSS\output\s0037_DCRadjBL_2020LU_PriorityFullCWN_DV_v1_20260216.dss,s0037_DCRadjBL_2020LU_PriorityFullCWN\Model_Files\DSS\input\coeqwal_s9999_SV_v0.1.4.dss,10/31/1921,9/30/2021,,
s0039,s0039_USBRAlt3_2020LU_DeltaOut65,s0039_USBRAlt3_2020LU_DeltaOut65,https://drive.google.com/drive/folders/1GF5FV75RfoBkwm0T5SJ75T79UT1PBKqp?usp=drive_link,2023 DWR Historical Adjusted,USBR Alt3 updated with DWR hydrology and 2020 land use; maintains 65% Delta outflow requirement as in original Alt3 (and all attendent caveats and contingencies),s0039_USBRAlt3_2020LU_DeltaOut65\Model_Files\DSS\output\s0039_USBRAlt3_2020LU_DeltaOut65_DV_v0.1_20251120.dss,s0039_USBRAlt3_2020LU_DeltaOut65\Model_Files\DSS\input\coeqwal_s9999_SV_v0.1.4.dss,10/31/1921,9/30/2021,,
s0040,s0040_USBRAlt3_2020LU_DeltaOut35,s0040_USBRAlt3_2020LU_DeltaOut35,https://drive.google.com/drive/folders/1_6SmRHkdpguDFK0VMJ4AJULO-R4M50Y4?usp=drive_link,2023 DWR Historical Adjusted,USBR Alt3 updated with DWR hydrology and 2020 land use; reduces Delta outflow requirement to 35% from the 65% of unimpaired as in original Alt3 (and all attendent caveats and contingencies),s0040_USBRAlt3_2020LU_DeltaOut35\Model_Files\DSS\output\s0040_USBRAlt3_2020LU_DeltaOut35_DV_v0.2_20251211.dss,s0040_USBRAlt3_2020LU_DeltaOut35\Model_Files\DSS\input\coeqwal_s9999_SV_v0.1.4.dss,10/31/1921,9/30/2021,,
s0041,s0041_USBRAlt3_2020LU_DeltaOut45,s0041_USBRAlt3_2020LU_DeltaOut45,https://drive.google.com/drive/folders/1zFmOaUC8BV4oWQPrtTk48uNDIoQb5QBm?usp=drive_link,2023 DWR Historical Adjusted,USBR Alt3 updated with DWR hydrology and 2020 land use; reduces Delta outflow requirement to 45% from the 65% of unimpaired as in original Alt3 (and all attendent caveats and contingencies),s0041_USBRAlt3_2020LU_DeltaOut45\Model_Files\DSS\output\s0041_USBRAlt3_2020LU_DeltaOut45_DV_v0.2_20251211.dss,s0041_USBRAlt3_2020LU_DeltaOut45\Model_Files\DSS\input\coeqwal_s9999_SV_v0.1.4.dss,10/31/1921,9/30/2021,,
s0042,s0042_USBRAlt3_2020LU_DeltaOut55_v0.3_20251211,s0042_USBRAlt3_2020LU_DeltaOut55_v0.3_20251211,https://drive.google.com/drive/folders/18y7DtN4bthyk0oOBSLOJVLM6cktrGo5E?usp=drive_link,2023 DWR Historical Adjusted,USBR Alt3 updated with DWR hydrology and 2020 land use; reduces Delta outflow requirement to 55% from the 65% of unimpaired as in original Alt3 (and all attendent caveats and contingencies),s0042_USBRAlt3_2020LU_DeltaOut55_v0.3_20251211\Model_Files\DSS\output\s0042_USBRAlt3_2020LU_DeltaOut55_DV_v0.3_20251211.dss,s0042_USBRAlt3_2020LU_DeltaOut55_v0.3_20251211\Model_Files\DSS\input\coeqwal_s9999_SV_v0.1.4.dss,10/31/1921,9/30/2021,,
s0044,s0044_DCRadjHist_2020LU_ShastaCarryOver20,s0044_DCRadjHist_2020LU_ShastaCarryOver20,https://drive.google.com/drive/folders/1QaoPu5ADaEhghrkn5Agqtu4KH90ozjNF?usp=drive_link,2023 DWR Historical Adjusted,Increase Shasta carryover target by 20% relative to the baseline by reducing CVP allocations,s0044_DCRadjHist_2020LU_ShastaCarryOver20\Model_Files\DSS\output\s0044_DCRadjHist_2020LU_ShastaCarryover20_DV_v0.1_20251211.dss,s0044_DCRadjHist_2020LU_ShastaCarryOver20\Model_Files\DSS\input\coeqwal_s9999_SV_v0.1.1.dss,10/31/1921,9/30/2021,,
s0045,s0045_DCRadjBL_2020LU_RelaxFallX2,s0045_DCRadjBL_2020LU_RelaxFallX2,https://drive.google.com/drive/folders/1avIpukB8DTX2L4QIj4M5ENjFNyQqqiG1?usp=drive_link,2023 DWR Historical Adjusted,Remove the summer/fall X2 salinity (and flow) requirements; similar to USBR's most recent revised proposed operating rule,s0045_DCRadjBL_2020LU_RelaxFallX2\Model_Files\DSS\output\s0045_DCRadjBL_2020LU_RelaxFallX2_DV_v0.1.dss,s0045_DCRadjBL_2020LU_RelaxFallX2\Model_Files\DSS\input\coeqwal_s9999_SV_v0.1.1.dss,10/31/1921,9/30/2021,,
s0046,s0046_DCRadjHist_2020LU_EflowsV2_v0.2_20251015,s0046_DCRadjHist_2020LU_EflowsV2_v0.2_20251015,https://drive.google.com/drive/folders/16RFQ6y-n5nJWwDACWhbbSV2yP5u9dS8i?usp=drive_link,2023 DWR Historical Adjusted,Same as s0029 except that the downstream requirements on the Sac and SJR and Delta are de-activated so that it is only tributary and upper reaches.,s0046_DCRadjHist_2020LU_EflowsV2_v0.2_20251015\Model_Files\DSS\output\s0046_DCRadjHist_2020LU_EflowsV2_v0.2.dss,s0046_DCRadjHist_2020LU_EflowsV2_v0.2_20251015\Model_Files\DSS\input\coeqwal_s9999_SV_v0.1.3.dss,10/31/1921,9/30/2021,,
s0047,s0047_DCRcc50_2020LU_wTUCP,s0047_DCRcc50_2020LU_wTUCP,https://drive.google.com/drive/folders/1o6jo7g4cbRN_YxtEJxrKrTjpTjDaod46?usp=drive_link,2023DCR CC50-2043,"Same as s0020 but using DWR's 2023 DCR climage change ""50% level of concern"" future climate condition",s0047_DCRcc50_2020LU_wTUCP\Model_Files\DSS\output\s0047_DCRcc50_2020LU_wTUCP_DV_v0.1_20251119.dss,s0047_DCRcc50_2020LU_wTUCP\Model_Files\DSS\input\coeqwal_s9999_SV_v1.1.1.dss,10/31/1921,9/30/2021,,
s0048,s0048_adjBL_cc50_wTUCP,s0048_adjBL_cc50_wTUCP,https://drive.google.com/drive/folders/1rBfvirPjM0iMpDX4WSd-3Pq00gx12FX4?usp=drive_link,2023DCR CC50-2043,"Same as s0011 but using DWR's 2023 DCR climage change ""50% level of concern"" future climate condition",s0048_adjBL_cc50_wTUCP\Model_Files\DSS\output\s0048_adjBL_cc50_wTUCP_20250213.dss,s0048_adjBL_cc50_wTUCP\Model_Files\DSS\input\coeqwal_s9999_SV_v1.0.2.dss,10/31/1921,9/30/2021,,
s0049,s0049_DCRadjBL_cc50_2020LU_woTUCP,s0049_DCRadjBL_cc50_2020LU_woTUCP,https://drive.google.com/drive/folders/1Yr76IqB5RO2V7mZGq6n17ZsbohO6cJ1c?usp=drive_link,2023DCR CC50-2043,"Same as s0021 but using DWR's 2023 DCR climage change ""50% level of concern"" future climate condition",s0049_DCRadjBL_cc50_2020LU_woTUCP\Model_Files\DSS\output\s0049_DCRadjBL_cc50_2020LU_woTUCP_20250213.dss,s0049_DCRadjBL_cc50_2020LU_woTUCP\Model_Files\DSS\input\coeqwal_s9999_SV_v1.1.2.dss,10/31/1921,9/30/2021,,
s0050,s0050_USBR24Alt2V1cc50_adjHist_2020LU_wTUCP,s0050_USBR24Alt2V1cc50_adjHist_2020LU_wTUCP,https://drive.google.com/drive/folders/1PKOipMj7MDitmqt0ATRPM8LREIjxsisx?usp=drive_link,2023DCR CC50-2043,"Same as s0024 but using DWR's 2023 DCR climage change ""50% level of concern"" future climate condition",s0050_USBR24Alt2V1_cc50_adjHist_2020LU_wTUCP\Model_Files\DSS\output\s0050_USBR24Alt2V1_cc50_adjHist_2020LU_wTUCP_20250217.dss,s0050_USBR24Alt2V1_cc50_adjHist_2020LU_wTUCP\Model_Files\DSS\input\coeqwal_s9999_SV_v1.1.2.dss,10/31/1921,9/30/2021,,
s0051,s0051_USBR24Alt2V1_DCRcc50_2020LU_woTUCP,s0051_USBR24Alt2V1_DCRcc50_2020LU_woTUCP,https://drive.google.com/drive/folders/1ug_ZBivGW3h5xtw5NhSUi6L7cY3e21dK?usp=drive_link,2023DCR CC50-2043,"Same as s0023 but using DWR's 2023 DCR climage change ""50% level of concern"" future climate condition",s0051_USBR24Alt2V1_DCRcc50_2020LU_woTUCP\Model_Files\DSS\output\s0051_USBR24Alt2V1_cc50_adjBL_2020LU_woTUCP_DV_v0.1.dss,s0051_USBR24Alt2V1_DCRcc50_2020LU_woTUCP\Model_Files\DSS\input\coeqwal_s9999_SV_v1.1.2.dss,10/31/1921,9/30/2021,,
s0056,s0056_DCRcc95_2020LU_wTUCP,s0056_DCRcc95_2020LU_wTUCP,https://drive.google.com/drive/folders/1j1T3s71YcTGA_XOsKXwwx6wt82Rs4X1s?usp=drive_link,2023DCR CC95-2043,"Same as s0020 but using DWR's 2023 DCR climage change ""95% level of concern"" future climate condition",s0056_DCRcc95_2020LU_wTUCP\Model_Files\DSS\output\s0056_DCRcc95_2020LU_wTUCP_DV_v0.1_20251121.dss,s0056_DCRcc95_2020LU_wTUCP\Model_Files\DSS\input\coeqwal_s9999_SV_v2.1.2.dss,10/31/1921,9/30/2021,,
s0057,s0057_adjBL_cc95_wTUCP,s0057_adjBL_cc95_wTUCP,https://drive.google.com/drive/folders/1QCuFMFsDwSuib1QanflZJi662b4Yxxyj?usp=drive_link,2023DCR CC95-2043,"Same as s0011 but using DWR's 2023 DCR climage change ""95% level of concern"" future climate condition",s0057_adjBL_cc95_wTUCP\Model_Files\DSS\output\s0057_adjBL_cc95_wTUCP_20250214.dss,s0057_adjBL_cc95_wTUCP\Model_Files\DSS\input\coeqwal_s9999_SV_v2.0.2.dss,10/31/1921,9/30/2021,,
s0058,s0058_DCRcc95_2020LU_woTUCP,s0058_DCRcc95_2020LU_woTUCP,https://drive.google.com/drive/folders/17X-0B9loanGktI4Pc1VIE3UIYwNmdTcV?usp=drive_link,2023DCR CC95-2043,"Same as s0021 but using DWR's 2023 DCR climage change ""95% level of concern"" future climate condition",s0058_DCRadjBL_cc95_2020LU_woTUCP\Model_Files\DSS\output\s0058_DCRadjBL_2020LU_woTUCP_DV_v0.1.dss,s0058_DCRadjBL_cc95_2020LU_woTUCP\Model_Files\DSS\input\coeqwal_s9999_SV_v2.1.2.dss,10/31/1921,9/30/2021,,
s0059,s0059_USBR24Alt2V1_adjBL_cc95_2020LU_wTUCP,s0059_USBR24Alt2V1_adjBL_cc95_2020LU_wTUCP,https://drive.google.com/drive/folders/1u1oKHEwnNQuj68RClApZNB06kyUuVm_i?usp=drive_link,2023DCR CC95-2043,"Same as s0024 but using DWR's 2023 DCR climage change ""95% level of concern"" future climate condition",s0059_USBR24Alt2V1_adjBL_cc95_2020LU_wTUCP\Model_Files\DSS\output\s0059_USBR24Alt2V1_adjHist_cc95_2020LU_wTUCP_DV_v1_20260309.dss,s0059_USBR24Alt2V1_adjBL_cc95_2020LU_wTUCP\Model_Files\DSS\input\coeqwal_s9999_SV_v2.1.2.dss,10/31/1921,9/30/2021,,
s0060,s0060_USBR24Alt2V1_adjBL_cc95_2020LU_woTUCP,s0060_USBR24Alt2V1_adjBL_cc95_2020LU_woTUCP,https://drive.google.com/drive/folders/1JkK2V2AJMksRQ2BEjgy_jJnPOSRYw2O7?usp=drive_link,2023DCR CC95-2043,"Same as s0023 but using DWR's 2023 DCR climage change ""95% level of concern"" future climate condition",s0060_USBR24Alt2V1_adjBL_cc95_2020LU_woTUCP\Model_Files\DSS\output\s0060_USBR24Alt2V1_adjBL_cc95_2020LU_woTUCP_DV_v2_20260309.dss,s0060_USBR24Alt2V1_adjBL_cc95_2020LU_woTUCP\Model_Files\DSS\input\coeqwal_s9999_SV_v2.1.2.dss,10/31/1921,9/30/2021,,
s0062,s0062_CVgwLimit_cc50_2020LU_wTUCP,s0062_CVgwLimit_cc50_2020LU_wTUCP,https://drive.google.com/drive/folders/1MG4X-jwM1E3FM3Ic8W-QGLbt9OykXSpT?usp=drive_link,2023DCR CC50-2043,"Same as s0027 but using DWR's 2023 DCR climate change ""50% level fo concern"" climate condition",s0062_CVgwLimit_cc50_2020LU_wTUCP\Model_Files\DSS\output\s0062_CVgwLimit_cc50_2020LU_wTUCP_DV_v0.1.dss,s0062_CVgwLimit_cc50_2020LU_wTUCP\Model_Files\DSS\input\coeqwal_s9999_SV_v1.1.2.dss,10/31/1921,9/30/2021,,
s0063,s0063_CVgwLimit_cc95_2020LU_wTUCP,s0063_CVgwLimit_cc95_2020LU_wTUCP,https://drive.google.com/drive/folders/160udSxZUdMZOHYbWq4gDX6J3VkLwVZpz?usp=drive_link,2023DCR CC95-2043,"Same as s0027 but using DWR's 2023 DCR climate change ""95% level of concern"" climate condition",s0063_CVgwLimit_cc95_2020LU_wTUCP\Model_Files\DSS\output\s0063_CVgwLimit_cc95_2020LU_wTUCP_DV_v0.1_20251123.dss,s0063_CVgwLimit_cc95_2020LU_wTUCP\Model_Files\DSS\input\coeqwal_s9999_SV_v2.1.3.dss,10/31/1921,9/30/2021,,
s0065,s0065_DWRadapt25_2020LU_DCP,s0065_DWRadapt25_2020LU_DCP,https://drive.google.com/drive/folders/1gdQnIpzSQtwppU-9Z3vFJaKuml-jnNHo?usp=drive_link,2023 DWR Historical Adjusted,DWR updated (2025 climate adaptation) DCP version with historical hydrology and 2020 land use,s0065_DWRadapt25_2020LU_DCP\Model_Files\DSS\output\s0065_DWRadapt25_2020LU_DCP_DV_v01_20260119.dss,s0065_DWRadapt25_2020LU_DCP\Model_Files\DSS\input\coeqwal_s9999_SV_v0.13.4.dss,10/31/1921,9/30/2021,,
s0067,s0067_SJVgwLimit_cc50__20LU_wTUCP,s0067_SJVgwLimit_cc50__20LU_wTUCP,https://drive.google.com/drive/folders/1Z7HVHHhApQfBMw3WZR2NJ5e1K19MnKkg?usp=drive_link,2023DCR CC50-2043,"Same as s0025 but using DWR's 2023 DCR climage change ""50% level of concern"" future climate condition",s0067_SJVgwLimit_cc50__20LU_wTUCP\Model_Files\DSS\output\s0067_SJVgwLimit_2020LU_cc50_wTUCP_DV_v0.1.dss,s0067_SJVgwLimit_cc50__20LU_wTUCP\Model_Files\DSS\input\coeqwal_s9999_SV_v1.1.3.dss,10/31/1921,9/30/2021,,
s0068,s0068_SJVgwLimit_cc50_SGMALU_wTUCP,s0068_SJVgwLimit_cc50_SGMALU_wTUCP,https://drive.google.com/drive/folders/11hWfJD7gsWov1AMwTJ_CWC6ehN6i6f5x?usp=drive_link,2023DCR CC50-2043,"Same as s0026 but using DWR's 2023 DCR climage change ""50% level of concern"" future climate condition",s0068_SJVgwLimit_cc50_SGMALU_wTUCP\Model_Files\DSS\output\s0068_SJVgwLimit_cc50_SGMALU_wTUCP_20250213.dss,s0068_SJVgwLimit_cc50_SGMALU_wTUCP\Model_Files\DSS\input\coeqwal_s9999_SV_v1.12.4.dss,10/31/1921,9/30/2021,,
s0069,s0069_CVgwLimit_cc50_SGMALU_wTUCP,s0069_CVgwLimit_cc50_SGMALU_wTUCP,https://drive.google.com/drive/folders/1pK-zESI84Q23brxn3hoZWssxPuh3wA1a?usp=drive_link,2023DCR CC50-2043,"Same as s0028 but using DWR's 2023 DCR climage change ""50% level of concern"" future climate condition",s0069_CVgwLimit_cc50_SGMALU_wTUCP\Model_Files\DSS\output\s0069_CVgwLimit_cc50_SGMALU_wTUCP_DV_v1_20260213.dss,s0069_CVgwLimit_cc50_SGMALU_wTUCP\Model_Files\DSS\input\coeqwal_s9999_SV_v1.11.4.dss,10/31/1921,9/30/2021,,
s0070,s0070_DCRadjHist_cc50_2020LU_eflowsV1,s0070_DCRadjHist_cc50_2020LU_eflowsV1,https://drive.google.com/drive/folders/1AxM4DmuTuoXaLP8436-KsfGV-TAvM7NU?usp=drive_link,2023DCR CC50-2043,"Same as s0029 but using DWR's 2023 DCR climage change ""50% level of concern"" future climate condition",s0070_DCRadjHist_cc50_2020LU_eflowsV1\Model_Files\DSS\output\s0070_DCRadjHist__cc50_2020LU_eflowsV1_20260211.dss,s0070_DCRadjHist_cc50_2020LU_eflowsV1\Model_Files\DSS\input\coeqwal_s9999_SV_v1.1.3.dss,10/31/1921,9/30/2021,,
s0071,s0071_DCRadjHist_cc50_2020LU_NoFlowReqt,s0071_DCRadjHist_cc50_2020LU_NoFlowReqt,https://drive.google.com/drive/folders/1lQdDFxdwyV8k7XWpRaTTeyJVChTQl2w-?usp=drive_link,2023DCR CC50-2043,"Same as s0030 but using DWR's 2023 DCR climage change ""50% level of concern"" future climate condition",s0071_DCRadjHist_cc50_2020LU_NoFlowReqt\Model_Files\DSS\output\s0071_DCRadjHist_cc50_2020LU_NoFlowReqt_20260211.dss,s0071_DCRadjHist_cc50_2020LU_NoFlowReqt\Model_Files\DSS\input\coeqwal_s9999_SV_v1.1.3.dss,10/31/1921,9/30/2021,,
